Species,Year,Unit,source,Flamborough Head and Bempton Cliffs,Coquet Island,St Abb's Head to Fast Castle SPA,Farne Islands SPA,Forth Islands SPA,Buchan Ness to Collieston Coast SPA,Fowlsheugh SPA,"Troup, Pennan and Lion's Heads SPA"
Kittiwake,1986,AON,smp_db,NA,NA,NA,4388,NA,NA,NA,16594
Kittiwake,1987,AON,smp_db,85395,NA,NA,5915,NA,NA,NA,NA
Kittiwake,1988,AON,smp_db,NA,NA,NA,5860,NA,NA,NA,NA
Kittiwake,1989,AON,smp_db,NA,NA,NA,6148,NA,NA,NA,NA
Kittiwake,1990,AON,smp_db,NA,NA,17642,6393,9764,NA,NA,NA
Kittiwake,1991,AON,smp_db,NA,1,16183,5743,7360,NA,23522,NA
Kittiwake,1992,AON,smp_db,NA,14,16524,6178,7628,NA,58700,NA
Kittiwake,1993,AON,smp_db,NA,21,15268,5889,8573,NA,NA,NA
Kittiwake,1994,AON,smp_db,NA,22,13007,5620,4801,NA,NA,NA
Kittiwake,1995,AON,smp_db,NA,47,13670,6313,9199,24957,NA,31664
Kittiwake,1996,AON,smp_db,NA,45,13437,6236,9377,NA,NA,NA
Kittiwake,1997,AON,smp_db,NA,61,13393,6119,10693,NA,NA,NA
Kittiwake,1998,AON,smp_db,NA,44,8044,5009,4549,NA,NA,NA
Kittiwake,1999,AON,smp_db,NA,51,9576,5492,6354,NA,28447,NA
Kittiwake,2000,AON,smp_db,42582,80,16222,5125,6632,NA,4739,NA
Kittiwake,2001,AON,smp_db,NA,66,8028,5781,5109,14091,NA,18665
Kittiwake,2002,AON,smp_db,NA,81,8890,5055,5277,NA,NA,NA
Kittiwake,2003,AON,smp_db,NA,84,6642,5192,5092,NA,NA,NA
Kittiwake,2004,AON,smp_db,NA,85,6239,5151,5380,13330,NA,15570
Kittiwake,2005,AON,smp_db,NA,127,7239,5376,5196,NA,NA,NA
Kittiwake,2006,AON,smp_db,NA,162,6288,4713,4593,NA,11140,NA
Kittiwake,2007,AON,smp_db,NA,157,6463,4669,4649,12542,NA,14896
Kittiwake,2008,AON,smp_db,37617,161,5298,4275,4522,NA,NA,NA
Kittiwake,2009,AON,smp_db,NA,168,4616,3699,3654,NA,9454,NA
Kittiwake,2010,AON,smp_db,NA,183,4744,4768,4827,NA,NA,NA
Kittiwake,2011,AON,smp_db,NA,193,4688,3976,3884,NA,NA,NA
Kittiwake,2012,AON,smp_db,NA,215,4314,4241,3766,NA,9337,NA
Kittiwake,2013,AON,smp_db,NA,185,4716,3443,2450,NA,NA,NA
Kittiwake,2014,AON,smp_db,NA,288,3625,4175,3339,NA,NA,NA
Kittiwake,2015,AON,smp_db,NA,326,4209,3956,4785,NA,9655,7180
Kittiwake,2016,AON,smp_db,45563,317,3334,3527,4075,NA,NA,NA
Kittiwake,2017,AON,smp_db,45504,448,4803,4753,4663,NA,NA,10616
Kittiwake,2018,AON,smp_db,NA,361,3244,3158,3514,NA,14039,NA
Kittiwake,2019,AON,smp_db,NA,439,4651,4402,1145,11295,NA,NA
Kittiwake,2020,AON,smp_db,NA,NA,4902,NA,346,NA,NA,NA
