Species,Year,Country,County,Site ID,Site,Master site,Subsite,StartGrid,EndGrid,Site active,Site category,Site type,Site habitat,Visit dates,Method,Unit,Count,Accuracy,Fledged count,Fledged accuracy,Comments
Kittiwake,1989,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,ALL,NT91776765,NT90756908,Y,,,,,other,AON,1245,C,1544,C,1969
Kittiwake,1998,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,ALL,NT91776765,NT90756908,Y,,,,,other,AON,265,C,72,C,1978
Kittiwake,2006,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,ALL,NT91776765,NT90756908,Y,,,,,other,AON,180,C,49,C,1986
Kittiwake,2012,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,ALL,NT91776765,NT90756908,Y,,,,,1.1,AON,137,C,67,C,
Kittiwake,2009,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,ALL,NT91776765,NT90756908,Y,,,,,1.1,AON,167,C,120,C,
Kittiwake,2015,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,ALL,NT91776765,NT90756908,Y,,,,,other,AON,237,C,259,C,
Kittiwake,1999,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,ALL,NT91776765,NT90756908,Y,,,,,other,AON,266,C,160,C,1979
Kittiwake,2007,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,ALL,NT91776765,NT90756908,Y,,,,,other,AON,194,C,21,C,1987
Kittiwake,2010,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,ALL,NT91776765,NT90756908,Y,,,,,1.1,AON,188,C,90,C,
Kittiwake,1988,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,ALL,NT91776765,NT90756908,Y,,,,,other,AON,1150,C,1219,C,1968
Kittiwake,1991,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,ALL,NT91776765,NT90756908,Y,,,,,other,AON,1118,C,458,C,1971
Kittiwake,2001,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,ALL,NT91776765,NT90756908,Y,,,,,other,AON,271,C,108,C,1981
Kittiwake,2008,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,ALL,NT91776765,NT90756908,Y,,,,,other,AON,193,C,23,C,1988
Kittiwake,2017,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,ALL,NT91776765,NT90756908,Y,,,,,other,AON,199,C,203,C,
Kittiwake,2004,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,ALL,NT91776765,NT90756908,Y,,,,,other,AON,160,C,43,C,1984
Kittiwake,2011,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,ALL,NT91776765,NT90756908,Y,,,,,1.1,AON,168,C,168,C,
Kittiwake,1987,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,ALL,NT91776765,NT90756908,Y,,,,,other,AON,90,C,92,C,1967
Kittiwake,2005,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,ALL,NT91776765,NT90756908,Y,,,,,other,AON,198,C,174,C,1985
Kittiwake,1994,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,ALL,NT91776765,NT90756908,Y,,,,,other,AON,1008,C,544,C,1974
Kittiwake,2016,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,ALL,NT91776765,NT90756908,Y,,,,,other,AON,178,C,137,C,
Kittiwake,2002,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,ALL,NT91776765,NT90756908,Y,,,,,other,AON,254,C,84,C,1982
Kittiwake,1993,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,ALL,NT91776765,NT90756908,Y,,,,,other,AON,1247,C,412,C,1973
Kittiwake,1995,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,ALL,NT91776765,NT90756908,Y,,,,,other,AON,389,C,218,C,1975
Kittiwake,2014,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,ALL,NT91776765,NT90756908,Y,,,,,other,AON,215,C,226,C,
Kittiwake,1990,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,ALL,NT91776765,NT90756908,Y,,,,,other,AON,1182,C,721,C,1970
Kittiwake,1992,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,ALL,NT91776765,NT90756908,Y,,,,,other,AON,1262,C,1300,C,1972
Kittiwake,1996,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,ALL,NT91776765,NT90756908,Y,,,,,other,AON,360,C,382,C,1976
Kittiwake,2000,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,ALL,NT91776765,NT90756908,Y,,,,,other,AON,289,C,231,C,1980
Kittiwake,2019,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,ALL,NT91776765,NT90756908,Y,,,,,other,AON,179,C,155,C,
Kittiwake,1997,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,ALL,NT91776765,NT90756908,Y,,,,,other,AON,316,C,215,C,1977
Kittiwake,2003,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,ALL,NT91776765,NT90756908,Y,,,,,other,AON,191,C,185,C,1983
Kittiwake,2013,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,ALL,NT91776765,NT90756908,Y,,,,,1.1,AON,83,C,9,C,
Kittiwake,2018,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,ALL,NT91776765,NT90756908,Y,,,,,other,AON,172,C,149,C,
